,name,Summary,actors,director,BigCategory,SmallCategory,Category,runningtime,SMRY,vod_name
740,치미모,인간계의 지옥화 계획을 실행하기 위해 잠행한 조금 어리숙한 지옥 씨와 강렬한 캐릭터의 세 자매가 펼치는 코미디 애니메이션,"지옥 씨,오니가미 하즈키,오니가미 메이,오니가미 무츠미",,TV애니메이션,명랑/코믹,TV프로그램,0:24,인간계를 지옥으로 만들지 못하면 처벌당한다고 지옥 선배로부터 협박당한 지옥 씨. 그래서 지옥 선배가 추천한 인간계를 한순간에 지옥으로 만들 수 있다는 전설의 의식을 시작하게 된다. 그러자 세계는 붉은 암운에 뒤덮이고 폭풍이 몰아치는데...,치미모
741,검정고무신 3기,가난했지만 행복했던 1969년을 배경으로 기영이와 기철이 형제의 풋풋한 성장 이야기를 들려주는 가족 애니메이션 ,"기철,기영,아버지,어머니,할아버지,할머니,땡구",,TV애니메이션,명랑/코믹,TV프로그램,0:22,"마지막 회. 기영이네 새 식구. 기영이네 집은 보릿고개를 이겨냈지만, 집안 사정으로 기영이와 기철이 방을 세놓게 되고, 그 방에는 변소 청소를 하는 똥 퍼 아저씨네 가족이 이사를 온다. 이사 온 똥 퍼 아저씨는 기영이네 집 연탄을 훔치는데...",검정고무신 3기
742,건어물 여동생 우마루짱 R,"집 밖에서는 완전 무결의 엄친딸이지만, 집안에서는 게임 폐인인 건어물 여동생 '우마루'를 중심으로 그리고 있는 일상 코미디","도마 우마루,도마 타이헤이,에비나 나나,모토바 키리에,타치바나 실핀포드",,TV애니메이션,명랑/코믹,TV프로그램,0:23,모두와 우마루. 저녁식사로 피자를 요구하는 우마루에게 타이헤이는 오코노미야키를 만들어주기로 한다. 그리고 봄바와 알렉스도 집에 초대해 함께 먹기로 한다. 우마루는 오코노미야키 뒤집기를 시도하는데...,건어물 여동생 우마루짱 R
743,로빈TV 미니게임 PART5,"나는 신이다! 신이 된 로빈은 게임 세상의 주민들을 괴롭히기로 한다. 번개, 태풍 등 여러 가지 자연재해가 로빈의 손에 쥐어져 있다. 먼저 번개를 일으켜 보자! 비가 내리기 시작하고 마을의 주민들이 비를 피하기 시작했다. 과연 로빈이 만족할 결과가 나올까?","로빈,제나,수한",,TV애니메이션,명랑/코믹,TV프로그램,0:14,"나는 신이다! 신이 된 로빈은 게임 세상의 주민들을 괴롭히기로 한다. 번개, 태풍 등 여러 가지 자연재해가 로빈의 손에 쥐어져 있다. 먼저 번개를 일으켜 보자! 비가 내리기 시작하고 마을의 주민들이 비를 피하기 시작했다. 과연 로빈이 만족할 결과가 나올까?",로빈TV 미니게임 PART5
744,헬크,마왕을 쓰러트린 인간 용사가 차기 마왕 후보에 오르며 펼쳐지는 이야기를 그린 애니메이션,헬크,,TV애니메이션,명랑/코믹,TV프로그램,0:22,"날개 병사들의 리더인 에딜. 마왕의 자리를 차지하려고 휴라가 덤비지만, 순식간에 거리를 좁힌 에딜에게 오른팔을 잃는다. 인간들은 날개를 가진 용사로 각성했다고 말하는 에딜. 에딜을 향한 공격을 막는 헬크를 보고 바밀리오는 적이라고 판단한다.",헬크
745,검정고무신 1기,가난했지만 행복했던 1969년을 배경으로 기영이와 기철이 형제의 풋풋한 성장 이야기를 들려주는 가족 애니메이션,"기철,기영,아버지,어머니,할아버지,할머니,땡구",,TV애니메이션,명랑/코믹,TV프로그램,0:10,"마지막회. 철없는 장난. 기영이는 친구들과 함께 집에서 새로 산 TV를 보고 있는데 중요한 순간에 자꾸 정전이 되는데, 정전의 범인은 다름 아닌 기철이. 장난꾸러기 기철이는 동네에서 온갖 사고를 치며 기영이와 친구들을 괴롭히는데...",검정고무신 1기
746,잉여맨TV 몬스터 탈출,엄청나게 긴 추격전 끝에 결국 비밀번호를 다 찾게 된 잉여맨! 비밀번호를 입력하고 나간 잉여맨에게 기다리는 것은 귀신을 물리칠 수 있다는 4개의 주문이 적혀있는 표지판이다. 과연 이 중에서 제대로 된 주문은 어떤 것일까.,"잉여맨,단미호,요루루",,TV애니메이션,명랑/코믹,TV프로그램,0:09,엄청나게 긴 추격전 끝에 결국 비밀번호를 다 찾게 된 잉여맨! 비밀번호를 입력하고 나간 잉여맨에게 기다리는 것은 귀신을 물리칠 수 있다는 4개의 주문이 적혀있는 표지판이다. 과연 이 중에서 제대로 된 주문은 어떤 것일까.,잉여맨TV 몬스터 탈출
747,악어TV 꼬리잡기 스페셜,파다닥 파다닥! 악어와 늪지대 멤버의 버블 꼬리잡기. 동글동글 버블이 나오는 버블건으로 상대를 잡아야 한다. 대검을 잡으면 잠깐 동안 투명 인간이 될 수 있는 유용한 기술까지!,"악어,핑맨,멋사",,TV애니메이션,명랑/코믹,TV프로그램,0:10,파다닥 파다닥! 악어와 늪지대 멤버의 버블 꼬리잡기. 동글동글 버블이 나오는 버블건으로 상대를 잡아야 한다. 대검을 잡으면 잠깐 동안 투명 인간이 될 수 있는 유용한 기술까지!,악어TV 꼬리잡기 스페셜
748,오빠는 끝!,방에서 게임만 하는 오빠를 갱생시키기 위해 여러가지 시도를 하다가 미소녀로 변해버린 오빠의 이야기를 그린 애니메이션,"오야마 마히로,오야마 미하리,호즈키 카에데,호즈키 모미지",,TV애니메이션,명랑/코믹,TV프로그램,0:23,"봄 방학 전에 다 같이 모여 즉흥적으로 결정된 1박 2일의 온천 여행 계획! 뒹굴뒹굴하려고 했지만 유카타로 갈아입고 밖으로 놀러 나가거나, 노천 온천에 들어가기도 하면서 여행을 즐기는 다른 친구들에게 이리저리 휘둘리는 마히로.",오빠는 끝!
749,슈퍼 흰둥이,크레용 신짱의 시로가 세계를 지키는 슈퍼 히어로로 활약하는 이야기,흰둥이,,TV애니메이션,명랑/코믹,TV프로그램,0:10,"1. 흰둥이와 디카푸는 뼈다귀 모양의 풍선을 손에 넣기 위해, 날아가는 풍선을 쫓아 구름 위로 올라간다. 그러나 구름 위에만 올라가면 행복한 기분이 되며 정신줄을 놓아버리는데... 2. 흰둥이가 슈퍼 히어로가 된 과정을 그린 이야기.",슈퍼 흰둥이
750,우당탕탕 괴짜가족,엽기의 본좌! 변태지 가족이 돌아왔다! 짧지만 강한 개그로 강렬한 임팩트를 남기는 진짜 개그 가족 이야기,"오오사와기 고테츠,오오사와기 깅테츠,오오사와기 다이테츠,오오사와기 사쿠라,오오사와기 준코",,TV애니메이션,명랑/코믹,TV프로그램,0:17,멀리서 백 엔을 던져 자판기에 넣으려는 나미다. 그런데 그가 던진 동전을 한 소년이 쳐낸다. 소년의 이름은 카도타 벤케이. 그는 자신을 야구 천재라고 소개하는데…,우당탕탕 괴짜가족
751,일곱 개의 마검이 지배한다,"명문 마법학교를 무대로 마법사가 되기 위해 입학한 소년, 소녀들이 일곱 개의 마검을 둘러싸고 펼치는 이야기를 그린 애니메이션","올리버 혼,히비야 나나오,카티 알토,미셀라 맥팔렌",,TV애니메이션,무협/환타지,TV프로그램,0:23,"카티를 납치한 범인은 밀리건이었다. 밀리건은 카티의 뇌를 해부해 트롤의 언어 능력을 개화시킨 원리를 밝혀내고자 했다. 친구를 구하기 위해 올리버와 나나오가 나섰지만, 상급생인 밀리건의 실력 앞에 고전하고 말았다. 두 사람은 힘을 합쳐 결사의 각오로 공격을...",일곱 개의 마검이 지배한다
752,오늘부터신령님,매년 열리는 전국 신들의 이즈모 회의의 초대장을 갖게 되면서 벌어지는 이야기,"모모조노 나나미,토모에,쿠라마,미즈키",,TV애니메이션,무협/환타지,TV프로그램,0:24,"신령님, 위협받다. 나나미의 학교에 인기 절정 아이돌 쿠라마가 전학오게 된다. 아이돌을 실제로 볼 수 있다는 설레임에 나나미는 토지신 일도 내팽겨치고 학교로 향하는데 그러나 아이돌 쿠라마는 그녀가 생각했던 사람과는 전혀 다른 사람이었으니...",오늘부터신령님
753,노 게임 노 라이프,"다른 종족들에게 연패를 거듭해 마지막 도시 하나만을 남겨둔 인류, 소라와 시로 폐인 남매가 이세계에서는 인류의 구세주가 되어 가는 이야기를 담은 애니메이션","소라,시로,스테파니 도라,지브릴",,TV애니메이션,무협/환타지,TV프로그램,0:24,"수습법 Rule No.10. 물리적인 한계까지도 초월하는 워비스트의 힘, 혈괴를 사용한 이즈나는 소라와 시로를 놀라게 한다. 무시무시한 스피드로 소라와 시로를 쫓아가던 이즈나는 결국 소라와 시로에게 러브 총알을 맞추는 데 성공하는데...",노 게임 노 라이프
754,HD리마스터링 나루토 5기,수학으로 변하고 있는 가아라는 엄청난 차크라를 내뿜고 세이메이는 그 차크라를 빨아들인다. 가아라는 예전에 나루토와 했던 말을 떠올리며 애써 자신 안의 수학을 억누르고 원래 모습으로 돌아온다. 세이메이는 이런 가아라를 비웃는데...,"나루토,사스케,사쿠라,카카시",,TV애니메이션,무협/환타지,TV프로그램,0:22,수학으로 변하고 있는 가아라는 엄청난 차크라를 내뿜고 세이메이는 그 차크라를 빨아들인다. 가아라는 예전에 나루토와 했던 말을 떠올리며 애써 자신 안의 수학을 억누르고 원래 모습으로 돌아온다. 세이메이는 이런 가아라를 비웃는데...,HD리마스터링 나루토 5기
755,데이트 어 라이브 3기,다른 세계에서 넘어 온 정령들과 그들을 만난 소년의 이야기를 다룬 애니메이션,"이츠카 시도,야토가미 토오카,토비이치 오리가미,이츠카 코토리",,TV애니메이션,무협/환타지,TV프로그램,0:23,일곱 번째 정령. 힘들지만 보람찬 날들을 보내던 이츠카 시도. 하지만 일상을 깨고 공간진에 대한 정보가 들어왔다. 문을 닫은 지 오래된 유원지로 이동한 정령 나츠미. 연상의 매력을 내뿜으며 시도에게 호의적이던 나츠미는 갑자기 적대적으로 변하는데...,데이트 어 라이브 3기
756,드림즈,현실과 꿈을 오가며 상상력의 힘으로 꿈속 세계의 폭군 ‘악몽 대마왕’을 물리치는 흥미진진한 모험 이야기,-,,TV애니메이션,무협/환타지,TV프로그램,0:21,답안지를 보기 위해 수학 선생님 꿈으로 들어간 아이들은 꿈속에서 나타난 선생님들의 뜻밖의 모습에 놀란다.,드림즈
757,sin 일곱 개의 대죄,오만이란 죄로 천계에서 추방되어 지옥으로 보내진 타락천사 루시퍼가 마왕으로서 각성하게 되고 잃어버린 힘을 완전히 되찾기 위해 다른 마왕들과 싸워나가는 이야기를 그린 애니메이션,"루시퍼,토츠카 마리아,벨파고,레바이탄",,TV애니메이션,무협/환타지,TV프로그램,0:23,"마지막 회. 신이 하늘에 머무니 세상은 평화롭구나. 천사 미카엘의 강림. 그것은 축복이 아닌 지옥의 멸망을 가져온 신의 의지. 그의 등에서 빛나는 성스러운 광익은 과거 루시퍼가 갖고 있었던, 일곱 개의 미덕의 수령에게만 주어지며 신이 내린 신뢰의 증표인데...",sin 일곱 개의 대죄
758,소드아트 온라인,"가상 공간 안에 갇힌 이들이 벌이는 처절한 사투, 다양한 인간 군상들의 모습을 그린 애니메이션","키리토,아스나,시리카,에길,클라인,사치",,TV애니메이션,무협/환타지,TV프로그램,0:23,세계의 씨앗. 아스나가 있는 병원으로 달려간 키리토는 병원 주차장에서 불의의 습격을 당한다. 하지만 칼을 들고 덤비는 스고우 또한 현실에선 나약하고 힘없는 인간일 뿐이었다. 가까스로 스고우를 제압한 키리토는 아스나의 병실로 조심스럽게 들어가는데...,소드아트 온라인
759,"팔남이라니, 그건 아니지!",가난한 귀족 가문의 팔남으로 전생해 깜깜한 환경에서 독립을 꿈꾸는 주인공의 모험을 담은 애니메이션,"벤델린 바우마이스터,엘빈 폰 아르님,도미니크,로델리히,클라우스",,TV애니메이션,무협/환타지,TV프로그램,0:23,쿠르트는 마도구 [용 사용자의 피리]를 들고 벨 앞에 나타난다. 하지만 그 피리는 [원차의 피리]로 원념을 불러 모아 스스로를 언데드화하는 저주의 아이템이었다. 쿠르트의 죽음을 지켜보며 벨은 다시 한 번 귀족이란 존재에 대해 고민하는데...,"팔남이라니, 그건 아니지!"
760,드림즈,현실과 꿈을 오가며 상상력의 힘으로 꿈속 세계의 폭군 ‘악몽 대마왕’을 물리치는 흥미진진한 모험 이야기,-,,TV애니메이션,무협/환타지,TV프로그램,0:21,"조이를 팀원으로 만들기 위한 대결에서 로건은 치트키를 사용하고, 사이버 랜드 전체를 위험에 빠뜨리는데!",드림즈
761,Fate Stay night Part 2,"에필로그. 성배 전쟁이 끝난 지 2년, 시로와 린은 마술협회의 총본산 런던 시계탑에서 유학 생활을 보내고 있었다. 영국 생활에도 익숙해져갈 즈음, 협회로부터 시로에게 어떠한 제안이 도착하는데...","에미야 시로,세이버,토오사카 린,아처,마토 사쿠라,랜서",,TV애니메이션,무협/환타지,TV프로그램,0:24,"에필로그. 성배 전쟁이 끝난 지 2년, 시로와 린은 마술협회의 총본산 런던 시계탑에서 유학 생활을 보내고 있었다. 영국 생활에도 익숙해져갈 즈음, 협회로부터 시로에게 어떠한 제안이 도착하는데...",Fate Stay night Part 2
762,츤데레악역영애리젤로테와실황의엔도군~,지크발트의 프러포즈가 성공했다. 엔도 군과 코바야시 양의 기쁨도 잠시 코바야시 양의 언니 치요노가 유괴당했다. 범인은 인간 여성 에파의 사랑을 갈망하는 신 쿠온이었다. 남편의 만행을 어떻게든 저지하려 하는 여신 리레나였지만...,"엔도 아오토,코바야시 시호노,리젤로테 리펜슈탈,지크발트 휘첸하겐",,TV애니메이션,무협/환타지,TV프로그램,0:24,지크발트의 프러포즈가 성공했다. 엔도 군과 코바야시 양의 기쁨도 잠시 코바야시 양의 언니 치요노가 유괴당했다. 범인은 인간 여성 에파의 사랑을 갈망하는 신 쿠온이었다. 남편의 만행을 어떻게든 저지하려 하는 여신 리레나였지만...,츤데레악역영애리젤로테와실황의엔도군~
